Title,Genre,Year,Revenue
Blockbuster Movie 1,Documentary,2012,983.87
Blockbuster Movie 2,Sci-Fi,2009,269.04
Blockbuster Movie 3,Documentary,2003,853.12
Blockbuster Movie 4,Thriller,1990,398.02
Blockbuster Movie 5,Drama,2003,725.43
Blockbuster Movie 6,Documentary,2005,57.32
Blockbuster Movie 7,Action,2002,276.89
Blockbuster Movie 8,Action,2004,758.72
Blockbuster Movie 9,Documentary,2001,471.11
Blockbuster Movie 10,Horror,1980,802.85
Blockbuster Movie 11,Drama,1988,173.39
Blockbuster Movie 12,Drama,1990,607.67
Blockbuster Movie 13,Drama,2020,578.73
Blockbuster Movie 14,Comedy,1980,59.9
Blockbuster Movie 15,Romance,2021,771.19
Blockbuster Movie 16,Drama,2006,927.07
Blockbuster Movie 17,Action,1992,703.9
Blockbuster Movie 18,Thriller,1992,437.4
Blockbuster Movie 19,Fantasy,2019,41.18
Blockbuster Movie 20,Drama,1987,912.18
Blockbuster Movie 21,Fantasy,2003,882.47
Blockbuster Movie 22,Horror,1989,810.53
Blockbuster Movie 23,Comedy,2021,328.8
Blockbuster Movie 24,Sci-Fi,1995,28.07
Blockbuster Movie 25,Thriller,2003,225.86
Blockbuster Movie 26,Action,2003,717.57
Blockbuster Movie 27,Romance,2020,370.45
Blockbuster Movie 28,Drama,2006,863.82
Blockbuster Movie 29,Fantasy,2023,40.92
Blockbuster Movie 30,Fantasy,2006,912.92
Blockbuster Movie 31,Horror,1992,611.05
Blockbuster Movie 32,Drama,1996,526.52
Blockbuster Movie 33,Comedy,2007,535.86
Blockbuster Movie 34,Comedy,1987,651.32
Blockbuster Movie 35,Horror,2010,700.33
Blockbuster Movie 36,Thriller,2021,394.98
Blockbuster Movie 37,Thriller,2002,388.2
Blockbuster Movie 38,Fantasy,1997,659.86
Blockbuster Movie 39,Documentary,2008,159.99
Blockbuster Movie 40,Fantasy,2016,712.79
Blockbuster Movie 41,Thriller,1984,747.4
Blockbuster Movie 42,Documentary,2004,416.14
Blockbuster Movie 43,Horror,1993,89.28
Blockbuster Movie 44,Action,1984,617.63
Blockbuster Movie 45,Sci-Fi,2021,458.42
Blockbuster Movie 46,Comedy,2002,844.74
Blockbuster Movie 47,Fantasy,1998,928.28
Blockbuster Movie 48,Fantasy,1995,783.52
Blockbuster Movie 49,Documentary,2005,621.7
Blockbuster Movie 50,Romance,1990,858.65
Blockbuster Movie 51,Sci-Fi,2018,591.15
Blockbuster Movie 52,Action,2024,929.15
Blockbuster Movie 53,Documentary,1984,657.13
Blockbuster Movie 54,Drama,2000,520.95
Blockbuster Movie 55,Action,1986,633.31
Blockbuster Movie 56,Thriller,1995,881.95
Blockbuster Movie 57,Fantasy,2009,99.24
Blockbuster Movie 58,Romance,1983,236.93
Blockbuster Movie 59,Horror,2002,543.2
Blockbuster Movie 60,Sci-Fi,2002,629.48
Blockbuster Movie 61,Drama,2007,610.19
Blockbuster Movie 62,Action,2001,297.01
Blockbuster Movie 63,Romance,2017,142.49
Blockbuster Movie 64,Action,1980,226.76
Blockbuster Movie 65,Drama,1993,343.23
Blockbuster Movie 66,Comedy,1987,120.09
Blockbuster Movie 67,Horror,1985,69.39
Blockbuster Movie 68,Sci-Fi,1984,750.74
Blockbuster Movie 69,Documentary,2018,993.59
Blockbuster Movie 70,Fantasy,2008,844.0
Blockbuster Movie 71,Thriller,1989,339.3
Blockbuster Movie 72,Romance,1992,558.8
Blockbuster Movie 73,Fantasy,1997,502.94
Blockbuster Movie 74,Action,1992,674.79
Blockbuster Movie 75,Fantasy,1996,488.61
Blockbuster Movie 76,Horror,1995,93.67
Blockbuster Movie 77,Horror,2005,990.17
Blockbuster Movie 78,Documentary,1989,795.88
Blockbuster Movie 79,Sci-Fi,1995,901.76
Blockbuster Movie 80,Comedy,2020,12.84
Blockbuster Movie 81,Comedy,1982,731.44
Blockbuster Movie 82,Sci-Fi,1980,806.9
Blockbuster Movie 83,Horror,2021,440.13
Blockbuster Movie 84,Thriller,2019,913.98
Blockbuster Movie 85,Drama,1998,826.72
Blockbuster Movie 86,Sci-Fi,1989,695.12
Blockbuster Movie 87,Drama,2023,447.51
Blockbuster Movie 88,Romance,2016,722.97
Blockbuster Movie 89,Romance,1984,773.91
Blockbuster Movie 90,Action,2002,227.76
Blockbuster Movie 91,Horror,1992,540.09
Blockbuster Movie 92,Fantasy,1992,61.41
Blockbuster Movie 93,Fantasy,2001,583.96
Blockbuster Movie 94,Romance,2013,632.18
Blockbuster Movie 95,Fantasy,2001,258.73
Blockbuster Movie 96,Drama,2012,634.0
Blockbuster Movie 97,Comedy,1980,970.63
Blockbuster Movie 98,Horror,2016,208.27
Blockbuster Movie 99,Fantasy,1986,92.31
Blockbuster Movie 100,Thriller,2014,771.58
