Title,Genre,Year,Revenue
Indie Movie 1,Comedy,1982,940.18
Indie Movie 2,Thriller,1990,962.04
Indie Movie 3,Comedy,1984,764.16
Indie Movie 4,Documentary,2014,403.85
Indie Movie 5,Romance,2008,112.18
Indie Movie 6,Thriller,2012,173.16
Indie Movie 7,Thriller,1992,485.83
Indie Movie 8,Drama,2007,82.67
Indie Movie 9,Thriller,2004,252.12
Indie Movie 10,Drama,2018,166.23
Indie Movie 11,Horror,2022,670.56
Indie Movie 12,Thriller,1996,748.76
Indie Movie 13,Horror,2010,273.6
Indie Movie 14,Comedy,2011,281.71
Indie Movie 15,Fantasy,2024,966.18
Indie Movie 16,Comedy,1998,649.17
Indie Movie 17,Fantasy,1997,669.01
Indie Movie 18,Documentary,2003,522.19
Indie Movie 19,Horror,2017,541.37
Indie Movie 20,Documentary,1980,521.74
Indie Movie 21,Fantasy,2020,955.82
Indie Movie 22,Fantasy,1996,864.28
Indie Movie 23,Thriller,2009,494.94
Indie Movie 24,Sci-Fi,2017,492.46
Indie Movie 25,Horror,2019,994.16
Indie Movie 26,Thriller,1994,338.62
Indie Movie 27,Comedy,2009,362.89
Indie Movie 28,Sci-Fi,2018,324.27
Indie Movie 29,Documentary,1992,158.85
Indie Movie 30,Fantasy,2007,704.99
Indie Movie 31,Fantasy,1990,586.15
Indie Movie 32,Fantasy,2005,53.02
Indie Movie 33,Documentary,2022,905.88
Indie Movie 34,Romance,1995,987.61
Indie Movie 35,Documentary,2000,155.81
Indie Movie 36,Romance,1998,285.76
Indie Movie 37,Action,2023,725.41
Indie Movie 38,Thriller,2018,966.61
Indie Movie 39,Documentary,2022,456.88
Indie Movie 40,Sci-Fi,2000,208.01
Indie Movie 41,Drama,2016,318.08
Indie Movie 42,Sci-Fi,2005,17.94
Indie Movie 43,Romance,1999,679.52
Indie Movie 44,Action,2005,514.0
Indie Movie 45,Action,1989,271.61
Indie Movie 46,Comedy,2005,835.62
Indie Movie 47,Sci-Fi,1989,733.42
Indie Movie 48,Documentary,2016,44.59
Indie Movie 49,Fantasy,2007,517.89
Indie Movie 50,Fantasy,1996,180.58
Indie Movie 51,Comedy,1997,32.01
Indie Movie 52,Drama,2018,978.48
Indie Movie 53,Horror,1987,472.98
Indie Movie 54,Documentary,2021,502.44
Indie Movie 55,Thriller,1980,567.08
Indie Movie 56,Fantasy,1987,185.81
Indie Movie 57,Drama,2019,577.55
Indie Movie 58,Action,1994,650.2
Indie Movie 59,Comedy,1981,814.58
Indie Movie 60,Thriller,2015,73.11
Indie Movie 61,Thriller,1993,608.06
Indie Movie 62,Thriller,1980,813.49
Indie Movie 63,Fantasy,1996,12.51
Indie Movie 64,Documentary,2022,50.76
Indie Movie 65,Fantasy,2005,836.69
Indie Movie 66,Action,1982,320.84
Indie Movie 67,Action,2020,520.52
Indie Movie 68,Action,1989,971.44
Indie Movie 69,Horror,2010,593.26
Indie Movie 70,Action,2003,815.73
Indie Movie 71,Action,2004,59.29
Indie Movie 72,Horror,2017,714.98
Indie Movie 73,Horror,2012,336.74
Indie Movie 74,Fantasy,1981,12.52
Indie Movie 75,Thriller,1993,698.51
